system:time_start,LST_Day_1km
"Aug 23, 2022",34.763
"Aug 24, 2022",
"Aug 24, 2022",
"Aug 25, 2022",35.056
"Aug 25, 2022",32.933
"Aug 26, 2022",32.361
"Aug 26, 2022",34.95
"Aug 27, 2022",36.935
"Aug 27, 2022",29.889
"Aug 28, 2022",37.379
"Aug 28, 2022",38.878
"Aug 29, 2022",39.723
"Aug 29, 2022",34.864
"Aug 30, 2022",35.039
"Aug 30, 2022",37.15
"Aug 31, 2022",36.655
"Aug 31, 2022",
"Sep 1, 2022",33.085
"Sep 1, 2022",24.362
"Sep 2, 2022",
"Sep 2, 2022",
"Sep 3, 2022",
"Sep 3, 2022",
"Sep 4, 2022",
"Sep 4, 2022",
"Sep 5, 2022",28.188
"Sep 5, 2022",27.484
"Sep 6, 2022",28.727
"Sep 6, 2022",26.557
"Sep 7, 2022",31.723
"Sep 7, 2022",30.011
"Sep 8, 2022",35.862
"Sep 8, 2022",30.032
"Sep 9, 2022",
"Sep 9, 2022",
"Sep 10, 2022",
"Sep 10, 2022",32.896
"Sep 11, 2022",33.635
"Sep 11, 2022",32.442
"Sep 12, 2022",29.999
"Sep 12, 2022",30.53
"Sep 13, 2022",27.934
"Sep 13, 2022",28.228
"Sep 14, 2022",31.42
"Sep 14, 2022",28.507
"Sep 15, 2022",24.378
"Sep 15, 2022",31.406
"Sep 16, 2022",
"Sep 16, 2022",31.655
"Sep 17, 2022",
"Sep 17, 2022",
"Sep 18, 2022",27.046
"Sep 18, 2022",24.854
"Sep 19, 2022",30.319
"Sep 19, 2022",26.147
"Sep 20, 2022",22.976
"Sep 20, 2022",24.449
"Sep 21, 2022",23.333
"Sep 21, 2022",22.26
"Sep 22, 2022",
"Sep 22, 2022",22.155
"Sep 23, 2022",20.993
"Sep 23, 2022",18.183
"Sep 24, 2022",26.353
"Sep 24, 2022",24.329
"Sep 25, 2022",28.663
"Sep 25, 2022",23.219
"Sep 26, 2022",
"Sep 26, 2022",22.938
"Sep 27, 2022",
"Sep 27, 2022",
"Sep 28, 2022",28.638
"Sep 28, 2022",24.43
"Sep 29, 2022",
"Sep 29, 2022",
"Sep 30, 2022",33.124
"Sep 30, 2022",29.073
